"product_detail","product_type","total_transactions","total_revenue","avg_transaction_value"
"Civet Cat","Premium Beans","260","11700.00","45.000"
"I Need My Bean! T-shirt","Clothing","221","6163.00","27.887"
"Organic Decaf Blend","Organic Beans","206","4657.50","22.609"
"Ethiopia","Gourmet Beans","218","4578.00","21.000"
"I Need My Bean! Latte cup","Housewares","315","4509.00","14.314"
"Brazilian - Organic","Organic Beans","214","3852.00","18.000"
"Our Old Time Diner Blend","House blend Beans","183","3294.00","18.000"
"Primo Espresso Roast","Espresso Beans","150","3067.50","20.450"
"I Need My Bean! Diner mug","Housewares","240","2935.00","12.229"
"Jamacian Coffee River","Premium Beans","146","2883.50","19.750"
"Espresso Roast","Espresso Beans","169","2492.75","14.750"
"Columbian Medium Roast","Gourmet Beans","148","2220.00","15.000"
"Guatemalan Sustainably Grown","Green beans","134","1340.00","10.000"
