"product_detail","product_type","total_transactions","total_revenue","avg_transaction_value"
"Chocolate Croissant","Pastry","3096","11625.98","3.755"
"Scottish Cream Scone ","Scone","1985","8949.45","4.509"
"Ginger Scone","Scone","2540","8011.61","3.154"
"Jumbo Savory Scone","Scone","2028","7626.62","3.761"
"Almond Croissant","Pastry","1911","7168.13","3.751"
"Croissant","Pastry","1954","6861.88","3.512"
"Cranberry Scone","Scone","2092","6818.44","3.259"
"Chocolate Chip Biscotti","Biscotti","1924","6748.96","3.508"
"Hazelnut Biscotti","Biscotti","2028","6608.01","3.258"
"Ginger Biscotti","Biscotti","1836","6436.56","3.506"
"Oatmeal Scone","Scone","1820","5460.00","3.000"
